seconds,fps
1,13
2,21
3,20
4,19
5,20
6,24
7,20
8,20
9,21
10,21
11,22
12,20
13,19
14,20
15,21
16,21
17,22
18,22
19,23
20,26
21,29
22,30
23,31
24,30
25,24
26,19
27,20
28,21
29,22
30,22
31,22
32,24
33,25
34,21
35,19
36,20
37,20
38,21
39,20
40,20
41,20
42,21
43,21
44,22
45,22
